Unnamed: 0,PAC,FOOD,NEP,BIO,FOODVALUEC,FOODVALUED,TREEVALUEC,TREEVALUED
210,140214,911.325,177.35159,29,0.37965,195,47.51144718,234.45
223,140403,911.325,231.51877,27,0.37965,195,47.51144718,234.45
226,140406,911.325,256.57624,25,0.37965,195,47.51144718,234.45
264,140826,911.325,312.13168,31,0.37965,195,47.51144718,234.45
235,140502,911.325,325.87276,30,0.37965,195,47.51144718,234.45
220,140311,911.325,300.36773,28,0.37965,195,47.51144718,234.45
202,140109,911.325,281.98032,55,0.37965,195,47.51144718,234.45
207,140181,911.325,287.17334,25,0.37965,195,47.51144718,234.45
199,140106,911.325,282.65714,55,0.37965,195,47.51144718,234.45
206,140123,911.325,278.08445,27,0.37965,195,47.51144718,234.45
276,140925,911.325,305.63894,44,0.37965,195,47.51144718,234.45
245,140623,911.325,211.94619,28,0.37965,195,47.51144718,234.45
217,140226,911.325,212.5097,28,0.37965,195,47.51144718,234.45
305,141123,911.325,318.34393,55,0.37965,195,47.51144718,234.45
277,140926,911.325,273.64288,28,0.37965,195,47.51144718,234.45
293,141028,911.325,299.54989,35,0.37965,195,47.51144718,234.45
302,141102,911.325,311.62394,31,0.37965,195,47.51144718,234.45
311,141129,911.325,307.9027,31,0.37965,195,47.51144718,234.45
242,140603,911.325,195.48022,27,0.37965,195,47.51144718,234.45
309,141127,911.325,306.6936,28,0.37965,195,47.51144718,234.45
307,141125,911.325,193.5989,27,0.37965,195,47.51144718,234.45
281,140930,911.325,200.16877,25,0.37965,195,47.51144718,234.45
208,140212,911.325,201.94171,29,0.37965,195,47.51144718,234.45
232,140429,911.325,277.07236,27,0.37965,195,47.51144718,234.45
259,140821,911.325,259.08519,27,0.37965,195,47.51144718,234.45
283,140932,911.325,203.58963,26,0.37965,195,47.51144718,234.45
203,140110,911.325,272.48526,55,0.37965,195,47.51144718,234.45
228,140425,911.325,251.11401,26,0.37965,195,47.51144718,234.45
282,140931,911.325,240.12033,25,0.37965,195,47.51144718,234.45
306,141124,911.325,325.97071,28,0.37965,195,47.51144718,234.45
265,140827,911.325,309.59888,49,0.37965,195,47.51144718,234.45
312,141130,911.325,300.79461,26,0.37965,195,47.51144718,234.45
275,140924,911.325,301.7461,31,0.37965,195,47.51144718,234.45
310,141128,911.325,329.73488,49,0.37965,195,47.51144718,234.45
280,140929,911.325,272.78146,32,0.37965,195,47.51144718,234.45
256,140729,911.325,247.68323,27,0.37965,195,47.51144718,234.45
304,141122,911.325,311.51464,52,0.37965,195,47.51144718,234.45
290,141025,911.325,252.41439,25,0.37965,195,47.51144718,234.45
201,140108,911.325,291.98964,55,0.37965,195,47.51144718,234.45
294,141029,911.325,249.76498,30,0.37965,195,47.51144718,234.45
308,141126,911.325,254.19918,29,0.37965,195,47.51144718,234.45
215,140224,911.325,280.63319,30,0.37965,195,47.51144718,234.45
260,140822,911.325,249.48605,25,0.37965,195,47.51144718,234.45
198,140105,911.325,161.37333,55,0.37965,195,47.51144718,234.45
238,140524,911.325,228.98328,32,0.37965,195,47.51144718,234.45
236,140521,911.325,314.37663,38,0.37965,195,47.51144718,234.45
229,140426,911.325,252.52046,27,0.37965,195,47.51144718,234.45
234,140431,911.325,294.35333,36,0.37965,195,47.51144718,234.45
211,140215,911.325,203.09364,27,0.37965,195,47.51144718,234.45
267,140829,911.325,241.69889,27,0.37965,195,47.51144718,234.45
258,140802,911.325,259.08519,32,0.37965,195,47.51144718,234.45
295,141030,911.325,283.26606,27,0.37965,195,47.51144718,234.45
237,140522,911.325,265.14467,39,0.37965,195,47.51144718,234.45
274,140923,911.325,268.95649,29,0.37965,195,47.51144718,234.45
205,140122,911.325,278.54693,29,0.37965,195,47.51144718,234.45
239,140525,911.325,260.22585,30,0.37965,195,47.51144718,234.45
200,140107,911.325,328.71705,55,0.37965,195,47.51144718,234.45
227,140423,911.325,258.35825,26,0.37965,195,47.51144718,234.45
301,141082,911.325,235.60789,26,0.37965,195,47.51144718,234.45
297,141032,911.325,224.93756,26,0.37965,195,47.51144718,234.45
213,140222,911.325,195.35713,27,0.37965,195,47.51144718,234.45
292,141027,911.325,252.0245,27,0.37965,195,47.51144718,234.45
251,140723,911.325,304.03118,29,0.37965,195,47.51144718,234.45
296,141031,911.325,240.03126,36,0.37965,195,47.51144718,234.45
278,140927,911.325,217.93968,28,0.37965,195,47.51144718,234.45
285,141002,911.325,272.62013,28,0.37965,195,47.51144718,234.45
313,141181,911.325,299.82045,25,0.37965,195,47.51144718,234.45
216,140225,911.325,261.41127,31,0.37965,195,47.51144718,234.45
233,140430,911.325,308.80277,28,0.37965,195,47.51144718,234.45
250,140722,911.325,283.10123,25,0.37965,195,47.51144718,234.45
299,141034,911.325,299.27884,27,0.37965,195,47.51144718,234.45
204,140121,911.325,312.69335,26,0.37965,195,47.51144718,234.45
298,141033,911.325,322.18153,42,0.37965,195,47.51144718,234.45
230,140427,911.325,279.88869,25,0.37965,195,47.51144718,234.45
249,140721,911.325,277.87223,27,0.37965,195,47.51144718,234.45
222,140322,911.325,264.31105,25,0.37965,195,47.51144718,234.45
225,140405,911.325,301.72545,25,0.37965,195,47.51144718,234.45
291,141026,911.325,279.72721,28,0.37965,195,47.51144718,234.45
243,140621,911.325,198.27124,26,0.37965,195,47.51144718,234.45
221,140321,911.325,247.11871,28,0.37965,195,47.51144718,234.45
247,140702,911.325,301.94426,29,0.37965,195,47.51144718,234.45
279,140928,911.325,274.29739,33,0.37965,195,47.51144718,234.45
257,140781,911.325,246.08848,43,0.37965,195,47.51144718,234.45
252,140724,911.325,267.58211,26,0.37965,195,47.51144718,234.45
273,140922,911.325,283.24928,38,0.37965,195,47.51144718,234.45
224,140404,911.325,307.24854,27,0.37965,195,47.51144718,234.45
212,140221,911.325,215.02306,29,0.37965,195,47.51144718,234.45
246,140681,911.325,187.20129,26,0.37965,195,47.51144718,234.45
287,141022,911.325,320.16064,32,0.37965,195,47.51144718,234.45
241,140602,911.325,236.4941,27,0.37965,195,47.51144718,234.45
314,141182,911.325,298.71671,28,0.37965,195,47.51144718,234.45
240,140581,911.325,303.83763,25,0.37965,195,47.51144718,234.45
231,140428,911.325,295.3946,27,0.37965,195,47.51144718,234.45
255,140728,911.325,292.82273,25,0.37965,195,47.51144718,234.45
284,140981,911.325,269.09107,26,0.37965,195,47.51144718,234.45
271,140902,911.325,279.61684,35,0.37965,195,47.51144718,234.45
214,140223,911.325,245.25781,26,0.37965,195,47.51144718,234.45
266,140828,911.325,218.07731,27,0.37965,195,47.51144718,234.45
272,140921,911.325,239.05556,27,0.37965,195,47.51144718,234.45
289,141024,911.325,246.99811,26,0.37965,195,47.51144718,234.45
244,140622,911.325,201.73965,28,0.37965,195,47.51144718,234.45
268,140830,911.325,285.56667,29,0.37965,195,47.51144718,234.45
261,140823,911.325,252.64731,26,0.37965,195,47.51144718,234.45
